sim_time,gt_x,gt_y,gt_yaw,odom_dist_cum,odom_x,odom_y,odom_yaw,left_count,right_count,left_wheel_pos,right_wheel_pos,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_accel_x,imu_accel_y,imu_accel_z
33.03333333333333,4.254683971405029,-0.13227953016757965,-0.06302865594625473,-0.2309999999999966,4.008706306025441,-0.5601774922091673,-0.14400000000000013,-210,-246,-3.5001587867736816,-4.101164817810059,0.012280759401619434,-0.13651055097579956,-0.03263966739177704,-3.8931386470794678,-0.006664090324193239,-8.883715629577637
33.05,4.256844520568848,-0.13240979611873627,-0.06305817514657974,-0.2289999999999966,4.0106856058324905,-0.5604644979126141,-0.14400000000000013,-208,-244,-3.463402509689331,-4.064881801605225,0.020311133936047554,-0.15900756418704987,-0.03206097334623337,-3.9648289680480957,0.049669891595840454,-9.095633506774902
33.06666666666666,4.2589802742004395,-0.13254867494106293,-0.06311855465173721,-0.2269999999999966,4.01266490563954,-0.5607515036160609,-0.14400000000000013,-206,-242,-3.4274649620056152,-4.0293779373168945,0.010925780981779099,-0.13676679134368896,-0.03333618491888046,-3.889249324798584,-0.0575387179851532,-8.88450813293457
33.083333333333336,4.261140823364258,-0.1326819509267807,-0.0631062313914299,-0.2244999999999966,4.015137575580691,-0.5611201543479607,-0.14800000000000013,-203,-240,-3.391242265701294,-3.9929802417755127,0.015058593824505806,-0.1582517921924591,-0.03061833418905735,-3.957158088684082,0.01572737842798233,-9.095318794250488
33.1,4.263275623321533,-0.1328180879354477,-0.06315381824970245,-0.2219999999999966,4.017611700339503,-0.5614789114772691,-0.14400000000000013,-201,-237,-3.3552682399749756,-3.9574389457702637,0.012357762083411217,-0.1366487741470337,-0.032728198915719986,-3.8933539390563965,-0.007822331972420216,-8.885358810424805
33.11666666666667,4.265436172485352,-0.132948637008667,-0.0631846934556961,-0.2199999999999966,4.019591000146553,-0.5617659171807159,-0.14400000000000013,-199,-235,-3.318514823913574,-3.921159029006958,0.02026956155896187,-0.15907712280750275,-0.032046228647232056,-3.9646270275115967,0.050868093967437744,-9.095274925231934
33.13333333333333,4.267571926116943,-0.13308782875537872,-0.06324484944343567,-0.21799999999999659,4.021570299953603,-0.5620529228841626,-0.14400000000000013,-197,-233,-3.282575845718384,-3.8856468200683594,0.01096910610795021,-0.13686010241508484,-0.03337632864713669,-3.889496088027954,-0.05799690634012222,-8.884753227233887
33.15,4.269733428955078,-0.1332213580608368,-0.06323311477899551,-0.21599999999999658,4.023549599760653,-0.5623399285876094,-0.14400000000000013,-195,-231,-3.246351480484009,-3.8492486476898193,0.01507757231593132,-0.15829947590827942,-0.030636535957455635,-3.9572222232818604,0.015976134687662125,-9.095314025878906
33.166666666666664,4.271868705749512,-0.13335773348808289,-0.06328271329402924,-0.21399999999999658,4.0255288995677025,-0.5626269342910561,-0.14400000000000013,-193,-229,-3.2103688716888428,-3.81369948387146,0.01237551774829626,-0.13648779690265656,-0.032734889537096024,-3.8935842514038086,-0.007034825626760721,-8.88490104675293
33.18333333333333,4.27402925491333,-0.13348856568336487,-0.06331285089254379,-0.21149999999999658,4.028001569508853,-0.562995585022956,-0.14800000000000013,-190,-227,-3.1736128330230713,-3.777419090270996,0.020299741998314857,-0.15907660126686096,-0.03208468481898308,-3.964520215988159,0.04969288781285286,-9.09520149230957
33.2,4.276165008544922,-0.13362792134284973,-0.06337235867977142,-0.20949999999999658,4.029979705461773,-0.5632905056084758,-0.14800000000000013,-188,-225,-3.137683391571045,-3.741922378540039,0.010957206599414349,-0.13680565357208252,-0.033370133489370346,-3.8889222145080566,-0.057802002876996994,-8.88420295715332
33.21666666666667,4.278326034545898,-0.1337617039680481,-0.06336075812578201,-0.20699999999999658,4.032453830220586,-0.5636492627377843,-0.14400000000000013,-186,-222,-3.1014435291290283,-3.7055206298828125,0.015191408805549145,-0.15821026265621185,-0.03063821606338024,-3.957913637161255,0.016764570027589798,-9.096240997314453
33.233333333333334,4.280460357666016,-0.13389852643013,-0.06340909749269485,-0.20499999999999657,4.034433130027636,-0.563936268441231,-0.14400000000000013,-184,-220,-3.0654757022857666,-3.669983148574829,0.012237414717674255,-0.13649380207061768,-0.032737135887145996,-3.8928606510162354,-0.0089741051197052,-8.884525299072266
33.25,4.282620906829834,-0.13402968645095825,-0.06343910098075867,-0.20299999999999657,4.0364124298346855,-0.5642232741446778,-0.14400000000000013,-182,-218,-3.028719186782837,-3.633697748184204,0.020280707627534866,-0.15956926345825195,-0.03210652619600296,-3.964890956878662,0.0507475771009922,-9.096846580505371
33.266666666666666,4.284757137298584,-0.13416935503482819,-0.06349837779998779,-0.20099999999999657,4.038391729641735,-0.5645102798481245,-0.14400000000000013,-180,-216,-2.992784261703491,-3.5982003211975098,0.010954391211271286,-0.13677909970283508,-0.033371150493621826,-3.889111280441284,-0.05766944959759712,-8.883255004882812
33.28333333333333,4.286917209625244,-0.13430337607860565,-0.06348666548728943,-0.19849999999999657,4.040864399582886,-0.5648789305800244,-0.14800000000000013,-177,-214,-2.95656418800354,-3.5618093013763428,0.015140065923333168,-0.1583014875650406,-0.030635178089141846,-3.9569530487060547,0.016506407409906387,-9.095088958740234
33.3,4.289052486419678,-0.13444042205810547,-0.06353394687175751,-0.19649999999999657,4.042842535535806,-0.5651738511655442,-0.14800000000000013,-175,-212,-2.920583724975586,-3.5262651443481445,0.012344887480139732,-0.1366741806268692,-0.03273478150367737,-3.893810749053955,-0.008566724136471748,-8.886388778686523
33.31666666666666,4.291212558746338,-0.13457179069519043,-0.06356450170278549,-0.19399999999999656,4.045316660294619,-0.5655326082948526,-0.14400000000000013,-173,-209,-2.883829116821289,-3.489983081817627,0.02031164988875389,-0.1592118889093399,-0.03206644579768181,-3.964442491531372,0.05116718262434006,-9.094733238220215
33.333333333333336,4.293348789215088,-0.13471174240112305,-0.06362404674291611,-0.19199999999999656,4.0472959601016685,-0.5658196139982994,-0.14400000000000013,-171,-207,-2.8478918075561523,-3.454484701156616,0.010990975424647331,-0.13677272200584412,-0.03336600586771965,-3.8893356323242188,-0.058105047792196274,-8.884374618530273
33.35,4.2955098152160645,-0.1348460614681244,-0.0636105090379715,-0.18999999999999656,4.049275259908718,-0.5661066197017461,-0.14400000000000013,-169,-205,-2.8116655349731445,-3.4180877208709717,0.015129905194044113,-0.15891532599925995,-0.0306270532310009,-3.9569997787475586,0.015569753013551235,-9.09608268737793
33.36666666666667,4.29764461517334,-0.13498330116271973,-0.06365944445133209,-0.18799999999999656,4.051254559715768,-0.5663936254051929,-0.14400000000000013,-167,-203,-2.7756876945495605,-3.382535696029663,0.012358649633824825,-0.1365717351436615,-0.032718244940042496,-3.8938167095184326,-0.006902980152517557,-8.884559631347656
33.38333333333333,4.2998046875,-0.13511498272418976,-0.06369075924158096,-0.18549999999999656,4.053727229656919,-0.5667622761370927,-0.14800000000000013,-164,-201,-2.73893404006958,-3.346254348754883,0.020256098359823227,-0.1585490107536316,-0.032066456973552704,-3.96458101272583,0.050327420234680176,-9.094157218933105
