epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,14587,0.17826,0.39741,0.00372,0,0,0,0,0.2748,6.44996,0.00954,0.000173264,0.000173264,0.000173264
82,14716.8,0.18881,0.42187,0.00424,0,0,0,0,0.30186,6.3605,0.01054,0.000165017,0.000165017,0.000165017
83,14852.5,0.18488,0.47021,0.00415,0,0,0,0,0.31561,6.37724,0.01105,0.000156771,0.000156771,0.000156771
84,14982.2,0.19885,0.4427,0.00457,0,0,0,0,0.34961,6.46894,0.01234,0.000148524,0.000148524,0.000148524
85,15114.2,0.18154,0.40702,0.0042,0,0,0,0,0.36218,6.48259,0.01267,0.000140277,0.000140277,0.000140277
86,15245.8,0.16881,0.39311,0.00394,0,0,0,0,0.31358,6.46982,0.01095,0.000132031,0.000132031,0.000132031
87,15374.4,0.18099,0.41741,0.0041,0,0,0,0,0.30272,6.53302,0.01057,0.000123784,0.000123784,0.000123784
88,15505.3,0.17304,0.37305,0.00386,0,0,0,0,0.30825,6.59509,0.01067,0.000115537,0.000115537,0.000115537
89,15635.2,0.18008,0.4196,0.00377,0,0,0,0,0.31268,6.55038,0.01081,0.00010729,0.00010729,0.00010729
90,15763.5,0.17027,0.45598,0.00371,0,0,0,0,0.29276,6.56795,0.01024,9.90437e-05,9.90437e-05,9.90437e-05
91,15922.4,0.23601,0.40946,0.0085,0,0,0,0,0.36709,6.70542,0.01282,9.0797e-05,9.0797e-05,9.0797e-05
92,16055.3,0.22282,0.39623,0.00808,0,0,0,0,0.414,6.77136,0.01431,8.25503e-05,8.25503e-05,8.25503e-05
93,16991,0.198,0.31735,0.00706,0,0,0,0,0.41659,7.00419,0.01455,7.43036e-05,7.43036e-05,7.43036e-05
94,17120.4,0.19138,0.35181,0.00692,0,0,0,0,0.41916,6.87506,0.0145,6.60569e-05,6.60569e-05,6.60569e-05
95,17251.2,0.219,0.31732,0.00835,0,0,0,0,0.45593,6.80119,0.01619,5.78102e-05,5.78102e-05,5.78102e-05
96,17382.9,0.21914,0.36514,0.00793,0,0,0,0,0.43505,6.78853,0.01541,4.95635e-05,4.95635e-05,4.95635e-05
97,17512.1,0.18987,0.32388,0.00683,0,0,0,0,0.42813,6.79039,0.01511,4.13168e-05,4.13168e-05,4.13168e-05
98,17640.3,0.20198,0.35708,0.00749,0,0,0,0,0.39077,6.83227,0.01357,3.30701e-05,3.30701e-05,3.30701e-05
99,17770.1,0.16241,0.32555,0.00576,0,0,0,0,0.39753,6.80038,0.01385,2.48234e-05,2.48234e-05,2.48234e-05
100,17901,0.17197,0.2977,0.00606,0,0,0,0,0.39212,6.72882,0.01366,1.65767e-05,1.65767e-05,1.65767e-05
